"Turn","MOTO (Product)","CUATRIMOTO (Product)","TRACTOR (Product)"
"-207","14","2","7"
"-206","13","9","7"
"-205","10","7","12"
"-204","7","7","11"
"-203","20","5","11"
"-202","16","8","3"
"-201","15","6","7"
"-200","18","7","11"
"-199","19","7","8"
"-198","18","9","13"
"-197","13","11","11"
"-196","25","10","3"
"-195","16","5","6"
"-194","16","5","12"
"-193","18","12","10"
"-192","16","10","9"
"-191","16","8","0"
"-190","19","8","3"
"-189","17","10","19"
"-188","8","9","12"
"-187","10","8","10"
"-186","6","6","12"
"-185","12","9","2"
"-184","20","12","15"
"-183","17","7","8"
"-182","20","9","10"
"-181","11","11","8"
"-180","15","10","13"
"-179","11","9","4"
"-178","14","8","11"
"-177","13","8","7"
"-176","10","7","8"
"-175","10","6","9"
"-174","15","10","9"
"-173","17","11","4"
"-172","17","7","18"
"-171","12","10","2"
"-170","17","8","15"
"-169","18","10","4"
"-168","18","14","8"
"-167","22","11","10"
"-166","17","8","7"
"-165","15","6","6"
"-164","23","11","13"
"-163","20","5","7"
"-162","17","10","8"
"-161","19","9","13"
"-160","13","8","12"
"-159","19","10","14"
"-158","14","9","17"
"-157","16","8","10"
"-156","20","6","17"
"-155","23","10","11"
"-154","13","10","5"
"-153","14","7","8"
"-152","16","8","7"
"-151","4","9","6"
"-150","18","10","7"
"-149","20","9","5"
"-148","18","7","11"
"-147","10","4","10"
"-146","12","9","6"
"-145","28","6","13"
"-144","22","7","9"
"-143","23","9","11"
"-142","16","7","8"
"-141","22","9","7"
"-140","15","10","8"
"-139","21","10","4"
"-138","19","8","8"
"-137","14","12","14"
"-136","11","15","22"
"-135","17","8","10"
"-134","20","10","11"
"-133","20","11","7"
"-132","20","9","19"
"-131","25","7","4"
"-130","26","9","10"
"-129","24","11","2"
"-128","22","8","11"
"-127","20","6","10"
"-126","14","9","11"
"-125","11","11","3"
"-124","14","6","5"
"-123","16","8","10"
"-122","20","8","10"
"-121","17","10","9"
"-120","17","13","8"
"-119","25","8","9"
"-118","19","7","8"
"-117","19","7","4"
"-116","21","9","9"
"-115","22","8","13"
"-114","15","12","12"
"-113","13","11","8"
"-112","20","9","12"
"-111","1","10","12"
"-110","17","11","6"
"-109","25","10","3"
"-108","15","8","10"
"-107","11","10","13"
"-106","15","10","8"
"-105","18","10","11"
"-104","23","9","8"
"-103","19","13","15"
"-102","19","10","12"
"-101","18","11","11"
"-100","17","12","10"
"-99","17","11","6"
"-98","12","11","10"
"-97","21","10","11"
"-96","19","11","9"
"-95","18","10","14"
"-94","22","14","14"
"-93","15","9","7"
"-92","18","10","11"
"-91","27","11","7"
"-90","20","13","5"
"-89","22","10","4"
"-88","23","9","10"
"-87","15","9","9"
"-86","17","12","13"
"-85","3","8","19"
"-84","16","9","15"
"-83","21","12","13"
"-82","15","10","14"
"-81","20","8","7"
"-80","22","7","7"
"-79","22","10","10"
"-78","24","9","6"
"-77","16","12","12"
"-76","25","10","11"
"-75","17","15","12"
"-74","16","12","11"
"-73","21","11","4"
"-72","14","7","16"
"-71","17","6","8"
"-70","19","9","6"
"-69","16","14","7"
"-68","17","8","13"
"-67","25","15","4"
"-66","25","11","9"
"-65","19","11","7"
"-64","22","11","12"
"-63","28","13","8"
"-62","26","10","17"
"-61","19","13","11"
"-60","13","9","4"
"-59","15","11","12"
"-58","18","12","10"
"-57","21","6","3"
"-56","19","10","9"
"-55","22","13","12"
"-54","24","10","9"
"-53","25","12","11"
"-52","30","13","15"
"-51","23","11","9"
"-50","27","13","12"
"-49","19","9","6"
"-48","13","8","16"
"-47","22","10","7"
"-46","12","15","15"
"-45","14","10","13"
"-44","24","8","11"
"-43","18","11","6"
"-42","15","9","15"
"-41","21","9","18"
"-40","23","14","9"
"-39","21","9","13"
"-38","23","14","11"
"-37","25","10","8"
"-36","22","11","7"
"-35","15","10","12"
"-34","22","11","9"
"-33","18","12","11"
"-32","23","13","7"
"-31","21","14","4"
"-30","19","12","12"
"-29","18","12","10"
"-28","21","14","6"
"-27","22","9","13"
"-26","23","15","12"
"-25","25","13","12"
"-24","29","12","14"
"-23","22","12","8"
"-22","25","15","11"
"-21","21","13","15"
"-20","20","10","4"
"-19","26","14","17"
"-18","14","13","8"
"-17","18","13","12"
"-16","28","14","9"
"-15","20","15","9"
"-14","17","10","13"
"-13","22","14","13"
"-12","26","11","7"
"-11","25","11","9"
"-10","17","12","15"
"-9","15","12","7"
"-8","22","11","17"
"-7","21","14","13"
"-6","15","11","10"
"-5","13","12","11"
"-4","27","12","12"
"-3","19","15","6"
"-2","24","9","11"
"-1","26","14","10"
"0","24","11","15"
